,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
527,권선1동 행정복지센터(문서창고),2010.22,경기도 수원시 권선구 경수대로352번길 29,경기도 수원시 권선구 권선동 1034-5,37.2577418593,127.0246017311
528,휴먼서비스센터,999.33,경기도 수원시 권선구 권선로 768,경기도 수원시 권선구 권선동 1166,37.2566380946,127.0349270206
529,다정어린이공원공중화장실,12,경기도 수원시 권선구 경수대로302번길 32,경기도 수원시 권선구 권선동 1188-2,37.2525751556,127.021939166
530,나그네화장실,30,경기도 수원시 권선구 덕영대로1207번길 26-6,경기도 수원시 권선구 권선동 1198,37.2499853819,127.02348905
531,삼천리권선2차아파트 내 어린이집,213,경기도 수원시 권선구 매탄로 25,경기도 수원시 권선구 권선동 1238,37.2545528894,127.0387738767
532,권선2동 행정복지센터,1752.71,경기도 수원시 권선구 권중로 85,경기도 수원시 권선구 권선동 1268-2,37.2513263175,127.0297162861
533,권선중앙 실내체육관,867.06,,경기도 수원시 권선구 권선동 1269,37.2518611712,127.0304797417
534,샛길화장실,34.26,,경기도 수원시 권선구 권선동 1269,37.2518611712,127.0304797417
535,지혜샘도서관,2447.92,경기도 수원시 권선구 동탄원천로 818,경기도 수원시 권선구 권선동 1310,37.2479958759,127.0400992633
536,고색향토문화전시관(고색줄다기전시관),471.75,,경기도 수원시 권선구 고색동 1129,37.2475366726,126.9896215269
537,기업지원센터(수원벤처밸리2(6층)),9243.63,경기도 수원시 권선구 산업로156번길 142-10,경기도 수원시 권선구 고색동 1152,37.2384099802,126.9864812076
538,수원시음식물자원화시설-경비실,24.8,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557,37.2348788548,126.9870237463
539,수원시음식물자원화시설-세차장(15동),60,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
540,수원시음식물자원화시설-처리장,348.19,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
541,여성문화공간-휴,2666.77,경기도 수원시 권선구 동수원로224번길 10,경기도 수원시 권선구 권선동 1311-2,37.2492986452,127.0343970677
542,한림도서관,2417.34,경기도 수원시 권선구 동수원로25번길 32-52,경기도 수원시 권선구 권선동 1355-4,37.237606247,127.0249987869
543,수원 농수산물도매시장,50852.2,,경기도 수원시 권선구 권선동 1369,,
544,중앙경로당,163.99,경기도 수원시 권선구 세지로112번길 25-18,경기도 수원시 권선구 권선동 954-2,37.2620726114,127.0211348145
545,제일경로당,148.32,경기도 수원시 권선구 장다리로 97,경기도 수원시 권선구 권선동 985,37.259035536,127.0212893686
546,산울림공원 공중화장실,87.9,경기도 수원시 권선구 당수로 41-107,경기도 수원시 권선구 금곡동 1059,37.2770488747,126.9361135239
547,칠보체육관,18364.03,경기도 수원시 권선구 서수원로577번길 171,경기도 수원시 권선구 금곡동 1071,37.276277026,126.9483014397
548,생태환경체험교육관,342.36,,경기도 수원시 권선구 금곡동 1074,37.2764818668,126.9458409463
549,상촌경로당,270.86,경기도 수원시 권선구 금곡로 5-9,경기도 수원시 권선구 금곡동 758-9,37.2682970617,126.9381525462
