,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
491,서신초등학교,초등학교,경기도 화성시 서신면 매화리 333,경기도 화성시 서신면 매화3길 17,37.17011249,126.7078399
492,세류초등학교,초등학교,경기도 수원시 권선구 세류동 63,경기도 수원시 권선구 세류로 78,37.26636058,127.010354
493,산양초등학교,초등학교,경기도 용인시 기흥구 신갈동 162,경기도 용인시 기흥구 산양로 2,37.28379756,127.108588
494,모현중학교,중학교,경기도 용인시 처인구 모현읍 일산리 540,경기도 용인시 처인구 모현읍 문현로189번길 5,37.34383068,127.231589
495,고현초등학교,초등학교,경기도 수원시 권선구 고색동 280,경기도 수원시 권선구 고현로 12,37.24914159,126.9881439
496,용인심곡초등학교,초등학교,경기도 용인시 수지구 상현동 871,경기도 용인시 수지구 심곡로 59,37.309018,127.0789331
497,상갈중학교,중학교,경기도 용인시 기흥구 상갈동 460,경기도 용인시 기흥구 금화로82번길 7,37.2664741,127.1092177
498,치동중학교,중학교,경기도 화성시 동탄면 영천동 790,경기도 화성시 동탄순환대로 881-9,37.208538,127.0916964
499,덕영고등학교,고등학교,경기도 용인시 처인구 고림동 737-1,경기도 용인시 처인구 고림로74번길 15,37.24160007,127.216194
500,교동초등학교,초등학교,경기도 용인시 기흥구 마북동 618,경기도 용인시 기흥구 마북로 124-10,37.29997921,127.1224865
501,손곡중학교,중학교,경기도 용인시 수지구 동천동 871,경기도 용인시 수지구 수풍로116번길 5,37.33485587,127.0942612
502,이현중학교,중학교,경기도 용인시 수지구 풍덕천동 1181-1,경기도 용인시 수지구 진산로34번길 39,37.31528324,127.096802
503,매현초등학교,초등학교,경기도 수원시 영통구 매탄동 1278,경기도 수원시 영통구 동탄원천로881번길 77,37.25654437,127.0420138
504,삼괴중학교,중학교,경기도 화성시 우정읍 조암리 139,경기도 화성시 우정읍 장안로 35,37.08982064,126.8222924
505,이솔초등학교,초등학교,경기도 화성시 장지동 967,경기도 화성시 동탄순환대로8길 26,37.163224,127.109722
506,용인이동초등학교,초등학교,경기도 용인시 처인구 이동읍 천리 1131,경기도 용인시 처인구 이동면 백옥대로587번길 22,37.190841,127.203512
507,대청초등학교,초등학교,경기도 용인시 수지구 죽전동 1389,경기도 용인시 수지구 죽전로 276,37.334128,127.1290495
508,구운중학교,중학교,경기도 수원시 권선구 구운동 508,경기도 수원시 권선구 금호로 257,37.27680726,126.977418
509,대지고등학교,고등학교,경기도 용인시 수지구 죽전동 1333,경기도 용인시 수지구 동백죽전대로 1066,37.32477894,127.1225516
510,병점중학교,중학교,경기도 화성시 병점동 825,경기도 화성시 병점3로 71,37.210361,127.0400539
511,모현초등학교,초등학교,경기도 용인시 처인구 모현읍 매산리 224-1,경기도 용인시 처인구 모현읍 문현로 179,37.34347639,127.228487
512,초당중학교,중학교,경기도 용인시 기흥구 중동 1048,경기도 용인시 기흥구 동백중앙로 119,37.26553571,127.1568124
513,한일초등학교,초등학교,경기도 수원시 장안구 조원동 882,경기도 수원시 장안구 수일로 150,37.30709739,127.0058123
514,수현초등학교,초등학교,경기도 화성시 봉담읍 수영리 576-1,경기도 화성시 봉담읍 상리3길 110,37.227526,126.950317
515,상하초등학교,초등학교,경기도 용인시 기흥구 상하동 674,경기도 용인시 기흥구 중부대로788번길 27,37.25702806,127.1405398
516,봉담고등학교,고등학교,경기도 화성시 봉담읍 동화리 570,경기도 화성시 봉담읍 상봉길 42,37.21786869,126.953893
517,오산대원초등학교,초등학교,경기도 오산시 갈곶동 258,경기도 오산시 경기대로25번길 45,37.13055379,127.0711928
518,홍천초등학교,초등학교,경기도 용인시 수지구 신봉동 910,경기도 용인시 수지구 신봉2로14번길 49,37.32663648,127.0798022
519,수지초등학교,초등학교,경기도 용인시 수지구 풍덕천동 510,경기도 용인시 수지구 정평로13번길 30,37.3167412,127.085295
520,창용중학교,중학교,경기도 수원시 장안구 연무동 241,경기도 수원시 장안구 연무로8,37.29316862,127.030143
521,영덕초등학교,초등학교,경기도 수원시 영통구 영통동 957-2,경기도 수원시 영통구 영통로 438,37.25905057,127.0739487
522,수원다산중학교,중학교,경기도 수원시 영통구 이의동 1368,경기도 수원시 영통구 혜령로 12,37.2839613,127.051237
523,화양초등학교,초등학교,경기도 수원시 팔달구 화서동 274,경기도 수원시 팔달구 덕영대로735번길 65,37.28354656,126.9950478
524,정남중학교,중학교,경기도 화성시 정남면 신리 85,경기도 화성시 정남면 신리길 76,37.1651297,126.9786516
525,화성초등학교,초등학교,경기도 오산시 수청동 47-1,경기도 오산시 내삼미로 18,37.16477164,127.0691917
526,매홀초등학교,초등학교,경기도 오산시 수청동 534-1,경기도 오산시 청학로147번길 10,37.1627718,127.0632836
527,매홀중학교,중학교,경기도 오산시 수청동 634,경기도 오산시 내삼미로48번길 17,37.16800267,127.0688473
528,고림초등학교,초등학교,경기도 용인시 처인구 고림동 340-2,경기도 용인시 처인구 한터로152번길 22,37.24741981,127.2270746
529,곡정초등학교,초등학교,경기도 수원시 권선구 권선동 1358,경기도 수원시 권선구 곡선로7,37.24085574,127.0256371
530,유신고등학교,고등학교,경기도 수원시 팔달구 우만동 9-1,경기도 수원시 팔달구 월드컵로 216,37.28243152,127.0413483
531,화성벌말초등학교,초등학교,경기도 화성시 병점동 415-2,경기도 화성시 떡전골로 34,37.2025813,127.0379586
532,문정중학교,중학교,경기도 용인시 수지구 풍덕천동 105,경기도 용인시 수지구 포은대로 455,37.32272577,127.0990637
533,필봉초등학교,초등학교,경기도 오산시 금암동 486,경기도 오산시 수청로 124,37.17882611,127.0523788
534,마도초등학교,초등학교,경기도 화성시 마도면 석교리 248,경기도 화성시 마도면 석교로 157,37.20418423,126.7726627
535,영덕고등학교,고등학교,경기도 수원시 영통구 영통동 965-3,경기도 수원시 영통구 매영로 334,37.25242219,127.0684717
536,금암초등학교,초등학교,경기도 오산시 금암동 510,경기도 오산시 수청로 204-20,37.17873483,127.0439479
537,수일중학교,중학교,경기도 수원시 장안구 파장동 414-1,경기도 수원시 장안구 수일로 103,37.31021301,127.0024664
538,보정고등학교,고등학교,경기도 용인시 기흥구 보정동 1281,경기도 용인시 기흥구 보정로 22,37.31390108,127.1096482
539,송림초등학교,초등학교,경기도 수원시 장안구 정자동 889-1,경기도 수원시 장안구 대평로51번길 65,37.2912808,126.9917372
540,노진초등학교,초등학교,경기도 화성시 장안면 노진리 506-6,경기도 화성시 장안면 화곡로 166,37.05160265,126.8091907
541,도이초등학교,초등학교,경기도 화성시 향남읍 행정리 476,경기도 화성시 향남읍 행정동로 87,37.13263324,126.926131
542,용인바이오고등학교,고등학교,경기도 용인시 처인구 이동읍 송전리 692,경기도 용인시 처인구 이동읍 경기동로687번길 28-14,37.140441,127.2007625
543,고정초등학교,초등학교,경기도 화성시 송산면 고정리 1103,경기도 화성시 송산면 공룡로 326,37.23771628,126.738112
544,구봉초등학교,초등학교,경기도 화성시 병점동 862,경기도 화성시 병점1로 105,37.20565996,127.0448127
545,상현고등학교,고등학교,경기도 용인시 수지구 상현동 1129-3,경기도 용인시 수지구 법조로 222,37.29911295,127.074376
